url,model,total_steps,passed,failed,errors,score
books.toscrape.com,baseline,3,1,2,0,33
books.toscrape.com_advanced_results.json,llm_advanced,542,220,0,322,40
books.toscrape.com_template_results.json,llm_template,542,542,0,0,100
developer.mozilla.org,baseline,3,2,1,0,66
developer.mozilla.org_advanced_results.json,llm_advanced,735,517,0,218,70
developer.mozilla.org_template_results.json,llm_template,735,730,0,5,99
example.com,baseline,3,3,0,0,100
example.com_advanced_results.json,llm_advanced,11,11,0,0,100
example.com_template_results.json,llm_template,11,11,0,0,100
flask.palletsprojects.com,baseline,3,2,1,0,66
flask.palletsprojects.com_advanced_results.json,llm_advanced,718,105,0,613,14
flask.palletsprojects.com_template_results.json,llm_template,718,718,0,0,100
getbootstrap.com,baseline,3,2,1,0,66
getbootstrap.com_advanced_results.json,llm_advanced,1232,261,0,971,21
getbootstrap.com_template_results.json,llm_template,1232,1232,0,0,100
httpbin.org,baseline,3,1,1,1,33
httpbin.org_advanced_results.json,llm_advanced,6,6,0,0,100
httpbin.org_template_results.json,llm_template,6,6,0,0,100
info.cern.ch,baseline,3,2,1,0,66
info.cern.ch_advanced_results.json,llm_advanced,16,16,0,0,100
info.cern.ch_template_results.json,llm_template,16,16,0,0,100
jquery.com,baseline,3,1,1,1,33
jquery.com_advanced_results.json,llm_advanced,333,200,0,133,60
jquery.com_template_results.json,llm_template,333,333,0,0,100
nodejs.org,baseline,3,2,1,0,66
nodejs.org_advanced_results.json,llm_advanced,816,684,0,132,83
nodejs.org_template_results.json,llm_template,816,807,0,9,98
quotes.toscrape.com,baseline,3,2,1,0,66
quotes.toscrape.com_advanced_results.json,llm_advanced,151,36,0,115,23
quotes.toscrape.com_template_results.json,llm_template,151,151,0,0,100
www.amazon.com,baseline,3,0,1,2,0
www.amazon.com_advanced_results.json,llm_advanced,49,25,0,24,51
www.amazon.com_template_results.json,llm_template,49,49,0,0,100
www.apple.com,baseline,3,2,1,0,66
www.apple.com_advanced_results.json,llm_advanced,2004,799,0,1205,39
www.apple.com_template_results.json,llm_template,2004,2004,0,0,100
www.bitbucket.org,baseline,3,1,2,0,33
www.bitbucket.org_advanced_results.json,llm_advanced,1260,457,0,803,36
www.bitbucket.org_template_results.json,llm_template,1260,1259,0,1,99
www.booking.com,baseline,3,2,1,0,66
www.booking.com_advanced_results.json,llm_advanced,2694,709,0,1985,26
www.booking.com_template_results.json,llm_template,2694,2691,0,3,99
www.cnn.com,baseline,3,0,2,1,0
www.cnn.com_advanced_results.json,llm_advanced,3420,667,0,2753,19
www.cnn.com_template_results.json,llm_template,3420,3417,0,3,99
www.github.com,baseline,3,0,3,0,0
www.github.com_advanced_results.json,llm_advanced,2066,911,0,1155,44
www.github.com_template_results.json,llm_template,2066,2041,0,25,98
www.gitlab.com,baseline,3,1,2,0,33
www.gitlab.com_advanced_results.json,llm_advanced,1449,504,0,945,34
www.gitlab.com_template_results.json,llm_template,1449,1445,0,4,99
www.gnu.org,baseline,3,0,2,1,0
www.gnu.org_advanced_results.json,llm_advanced,396,346,0,50,87
www.gnu.org_template_results.json,llm_template,396,396,0,0,100
www.hp.com,baseline,3,0,2,1,0
www.hp.com_advanced_results.json,llm_advanced,2817,1100,0,1717,39
www.hp.com_template_results.json,llm_template,2817,2816,0,1,99
www.ibm.com,baseline,3,2,1,0,66
www.ibm.com_advanced_results.json,llm_advanced,813,572,0,241,70
www.ibm.com_template_results.json,llm_template,813,803,0,10,98
www.lenovo.com,baseline,3,1,2,0,33
www.lenovo.com_advanced_results.json,llm_advanced,835,457,0,378,54
www.lenovo.com_template_results.json,llm_template,835,835,0,0,100
www.mozilla.org,baseline,3,1,2,0,33
www.mozilla.org_advanced_results.json,llm_advanced,1123,734,0,389,65
www.mozilla.org_template_results.json,llm_template,1123,1122,0,1,99
www.nationalgeographic.com,baseline,3,0,2,1,0
www.nationalgeographic.com_advanced_results.json,llm_advanced,5613,2580,0,3033,45
www.nationalgeographic.com_template_results.json,llm_template,5613,5595,0,18,99
www.nvidia.com,baseline,3,1,2,0,33
www.nvidia.com_advanced_results.json,llm_advanced,3060,994,0,2066,32
www.nvidia.com_template_results.json,llm_template,3060,3060,0,0,100
www.nytimes.com,baseline,3,1,2,0,33
www.nytimes.com_advanced_results.json,llm_advanced,4718,1623,0,3095,34
www.nytimes.com_template_results.json,llm_template,4718,4718,0,0,100
www.php.net,baseline,3,1,1,1,33
www.php.net_advanced_results.json,llm_advanced,876,695,0,181,79
www.php.net_template_results.json,llm_template,876,876,0,0,100
www.w3.org,baseline,3,2,1,0,66
www.w3.org_advanced_results.json,llm_advanced,42,30,0,12,71
www.w3.org_template_results.json,llm_template,42,41,0,1,97
www.w3schools.com,baseline,3,1,2,0,33
www.w3schools.com_advanced_results.json,llm_advanced,2320,866,0,1454,37
www.w3schools.com_template_results.json,llm_template,2320,2320,0,0,100
www.wikipedia.org,baseline,3,1,2,0,33
www.wikipedia.org_advanced_results.json,llm_advanced,1185,930,0,255,78
www.wikipedia.org_template_results.json,llm_template,1185,1185,0,0,100
www_results.jsonthon.org,baseline,3,0,3,0,0
www_results.jsonthon.org_advanced_results.json,llm_advanced,739,388,0,351,52
www_results.jsonthon.org_template_results.json,llm_template,739,739,0,0,100
